a,b,c,d
Aveiro District[edit],0,0,"0,"
Mealhada Municipality[edit],0,0,"0,"
3050 -ÿBarcou‡o,1,1,"1,"
3050 -ÿCasal Comba,1,2,"2,"
3050 -ÿLuso,1,3,"3,"
"3050 -ÿMealhada,ÿVentosa do BairroÿandÿAntes",1,4,"4,"
3050 -ÿPampilhosa,1,5,"5,"
3050 -ÿVacari‡a,1,6,"6,"
Murtosa Municipality[edit],0,7,"7,"
3870 -ÿBunheiro,1,0,"0,"
3870 -ÿMonte,1,1,"1,"
3870 -ÿMurtosa,1,2,"2,"
3870 -ÿTorreira,1,3,"3,"
Oliveira de Azem‚is Municipality[edit],0,4,"4,"
3720 -ÿCarregosa,1,0,"0,"
3700 -ÿCesar,1,1,"1,"
3700 -ÿFajäes,1,2,"2,"
3720 -ÿLoureiro,1,3,"3,"
3700 -ÿMacieira de Sarnes,1,4,"4,"
3700 -ÿNogueira do CravoÿandÿPindelo,1,5,"5,"
"3720 -ÿOliveira de Azem‚is,ÿSantiago de Riba-Ul,ÿUl,ÿMacinhata da SeixaÿandÿMadail",1,6,"6,"
3720 -ÿOssela,1,7,"7,"
"3720 -ÿPinheiro da Bemposta,ÿTravancaÿandÿPalmaz",1,8,"8,"
3720 -ÿSÆo Martinho da Gƒndara,1,9,"9,"
3720 -ÿSÆo Roque,1,10,"10,"
3720 -ÿVila de CucujÆes,1,11,"11,"
Oliveira do Bairro Municipality[edit],0,12,"12,"
3770 -ÿBustos,1,0,"0,"
3770 -ÿMamarrosa,1,1,"1,"
3770 -ÿOiÆ,1,2,"2,"
3770 -ÿOliveira do Bairro,1,3,"3,"
3770 -ÿPalha‡a,1,4,"4,"
3770 -ÿTroviscal,1,5,"5,"
µgueda Municipality[edit],0,6,"6,"
3750 -ÿAgadÆo,1,0,"0,"
3750 -ÿAguada de Baixo,1,1,"1,"
3750 -ÿAguada de Cima,1,2,"2,"
3750 -ÿµgueda,1,3,"3,"
3750 -ÿBarr“,1,4,"4,"
3750 -ÿBelazaima do ChÆo,1,5,"5,"
3750 -ÿCastanheira do Vouga,1,6,"6,"
